transaction_id,customer_id,card_id,merchant_id,transaction_date,amount,currency,installments,transaction_status,transaction_type
TXN00000001,CUST00143,CARD000145,MERC00119,2026-05-11 23:42:32,95569,CLP,1,approved,purchase
TXN00000002,CUST00097,CARD000103,MERC00138,2026-04-07 13:06:40,349320,CLP,1,approved,purchase
TXN00000003,CUST00111,CARD000115,MERC00188,2026-04-17 22:14:48,359956,CLP,1,approved,purchase
TXN00000004,CUST00255,CARD000255,MERC00082,2026-04-13 21:01:21,28453,CLP,3,approved,purchase
TXN00000005,CUST00138,CARD000139,MERC00110,2026-05-27 20:43:59,147871,CLP,3,approved,purchase
TXN00000006,CUST00067,CARD000072,MERC00038,2026-05-12 08:23:48,46014,CLP,1,approved,purchase
TXN00000007,CUST00002,CARD000002,MERC00084,2026-05-02 13:05:25,268450,CLP,3,approved,purchase
TXN00000008,CUST00398,CARD000411,MERC00104,2026-06-07 12:46:04,531326,CLP,12,pending,purchase
TXN00000009,CUST00311,CARD000316,MERC00194,2026-06-06 09:35:37,256287,CLP,1,approved,withdrawal
TXN00000010,CUST00318,CARD000323,MERC00005,2026-06-10 13:08:57,630846,CLP,2,approved,purchase
TXN00000011,CUST00026,CARD000025,MERC00185,2026-04-26 16:32:18,814563,CLP,3,approved,purchase
TXN00000012,CUST00379,CARD000389,MERC00089,2026-03-31 22:40:34,819348,CLP,1,approved,purchase
TXN00000013,CUST00305,CARD000307,MERC00140,2026-05-12 20:28:24,39384,CLP,1,reversed,purchase
TXN00000014,CUST00287,CARD000287,MERC00158,2026-04-09 10:46:40,207491,CLP,1,approved,purchase
TXN00000015,CUST00389,CARD000401,MERC00112,2026-05-13 23:45:54,169512,CLP,1,rejected,purchase
TXN00000016,CUST00088,CARD000093,MERC00137,2026-03-31 18:43:33,11989,CLP,1,approved,purchase
TXN00000017,CUST00001,CARD000001,MERC00008,2026-05-05 19:48:24,895484,CLP,3,approved,purchase
TXN00000018,CUST00229,CARD000232,MERC00139,2026-06-02 13:49:47,12374,CLP,1,approved,purchase
TXN00000019,CUST00208,CARD000208,MERC00091,2026-05-01 17:11:40,371423,CLP,1,approved,purchase
TXN00000020,CUST00148,CARD000150,MERC00050,2026-06-04 11:21:25,169644,CLP,3,approved,purchase
