merchant_id,merchant_name,merchant_category,region,city
MERC00009,Electronics Store 9,electronics,Antofagasta,Antofagasta
MERC00027,Electronics Store 27,electronics,Biobio,Los Angeles
MERC00052,Marketplace Store 52,marketplace,Biobio,Concepcion
MERC00069,Services Store 69,services,Los Lagos,Puerto Montt
MERC00077,Travel Store 77,travel,Coquimbo,La Serena
MERC00080,Pharmacy Store 80,pharmacy,Coquimbo,La Serena
MERC00091,Services Store 91,services,Coquimbo,Coquimbo
MERC00139,Food Delivery Store 139,food_delivery,Los Lagos,Osorno
MERC00147,Food Delivery Store 147,food_delivery,Antofagasta,Antofagasta
MERC00174,Fashion Store 174,fashion,Los Lagos,Osorno
MERC00182,Pharmacy Store 182,pharmacy,Antofagasta,Calama
MERC00190,Food Delivery Store 190,food_delivery,Antofagasta,Calama
MERC00032,Health Store 32,health,Coquimbo,La Serena
MERC00054,Fashion Store 54,fashion,Valparaiso,Valparaiso
MERC00088,Pharmacy Store 88,pharmacy,Coquimbo,Coquimbo
MERC00096,Home Store 96,home,Biobio,Concepcion
MERC00099,Pharmacy Store 99,pharmacy,Valparaiso,Vina del Mar
MERC00102,Marketplace Store 102,marketplace,Valparaiso,Vina del Mar
MERC00140,Travel Store 140,travel,RM,Maipu
MERC00181,Supermarket Store 181,supermarket,Los Lagos,Puerto Varas
MERC00005,Fashion Store 5,fashion,Biobio,Talcahuano
MERC00040,Supermarket Store 40,supermarket,Antofagasta,Antofagasta
MERC00050,Services Store 50,services,Valparaiso,Vina del Mar
MERC00051,Supermarket Store 51,supermarket,Antofagasta,Antofagasta
MERC00062,Fashion Store 62,fashion,RM,Nunoa
MERC00067,Marketplace Store 67,marketplace,RM,Providencia
MERC00068,Health Store 68,health,Valparaiso,Quilpue
MERC00070,Pharmacy Store 70,pharmacy,Coquimbo,La Serena
MERC00073,Marketplace Store 73,marketplace,Antofagasta,Antofagasta
MERC00093,Travel Store 93,travel,Antofagasta,Calama
MERC00134,Education Store 134,education,Biobio,Concepcion
MERC00151,Travel Store 151,travel,Coquimbo,La Serena
MERC00155,Fashion Store 155,fashion,Coquimbo,La Serena
MERC00165,Services Store 165,services,Antofagasta,Calama
MERC00178,Fashion Store 178,fashion,Antofagasta,Calama
MERC00006,Home Store 6,home,Antofagasta,Calama
MERC00034,Home Store 34,home,Valparaiso,Valparaiso
MERC00042,Pharmacy Store 42,pharmacy,RM,Providencia
MERC00046,Pharmacy Store 46,pharmacy,Los Lagos,Puerto Montt
MERC00048,Education Store 48,education,Antofagasta,Antofagasta
MERC00076,Marketplace Store 76,marketplace,Valparaiso,Vina del Mar
MERC00083,Travel Store 83,travel,Coquimbo,Coquimbo
MERC00104,Marketplace Store 104,marketplace,Los Lagos,Osorno
MERC00120,Marketplace Store 120,marketplace,Antofagasta,Calama
MERC00124,Services Store 124,services,Valparaiso,Valparaiso
MERC00153,Fashion Store 153,fashion,Valparaiso,Vina del Mar
MERC00173,Travel Store 173,travel,Biobio,Concepcion
MERC00175,Travel Store 175,travel,Coquimbo,La Serena
MERC00176,Marketplace Store 176,marketplace,RM,Providencia
MERC00184,Health Store 184,health,Biobio,Concepcion
MERC00189,Supermarket Store 189,supermarket,RM,Providencia
MERC00191,Health Store 191,health,Valparaiso,Valparaiso
MERC00192,Travel Store 192,travel,RM,Las Condes
MERC00001,Travel Store 1,travel,Los Lagos,Osorno
MERC00021,Fashion Store 21,fashion,Antofagasta,Calama
MERC00106,Supermarket Store 106,supermarket,Coquimbo,Coquimbo
MERC00133,Health Store 133,health,Valparaiso,Quilpue
MERC00148,Home Store 148,home,Biobio,Talcahuano
MERC00159,Fashion Store 159,fashion,Valparaiso,Valparaiso
MERC00164,Marketplace Store 164,marketplace,Biobio,Concepcion
MERC00169,Services Store 169,services,Biobio,Los Angeles
