transaction_id,customer_id,card_id,merchant_id,transaction_date,amount,currency,installments,transaction_status,transaction_type,customer_risk_segment,merchant_category
TXN00000017,CUST00001,CARD000001,MERC00008,2026-05-05 19:48:24,895484.0,CLP,3,approved,purchase,high,electronics
TXN00000093,CUST00305,CARD000307,MERC00108,2026-05-01 23:20:30,15841.0,CLP,1,approved,purchase,medium,services
TXN00000109,CUST00431,CARD000439,MERC00106,2026-03-15 11:50:14,664153.0,CLP,1,approved,purchase,medium,supermarket
TXN00000112,CUST00157,CARD000159,MERC00015,2026-04-24 23:23:15,27831.0,CLP,2,approved,purchase,high,food_delivery
TXN00000114,CUST00320,CARD000325,MERC00033,2026-05-25 11:32:37,133516.0,CLP,1,approved,purchase,low,home
TXN00000132,CUST00398,CARD000411,MERC00044,2026-04-05 10:57:30,17532.0,CLP,3,approved,purchase,low,services
TXN00000133,CUST00216,CARD000215,MERC00011,2026-06-14 16:21:45,1913.0,CLP,2,approved,purchase,high,marketplace
TXN00000155,CUST00400,CARD000413,MERC00047,2026-06-07 19:29:54,22499.0,CLP,1,approved,purchase,high,supermarket
TXN00000204,CUST00046,CARD000047,MERC00098,2026-05-29 09:45:03,666277.0,CLP,12,approved,purchase,medium,pharmacy
TXN00000251,CUST00389,CARD000402,MERC00159,2026-06-10 18:13:23,367315.0,CLP,6,approved,purchase,medium,fashion
TXN00000281,CUST00337,CARD000344,MERC00084,2026-06-01 20:24:14,453774.0,CLP,1,approved,purchase,low,marketplace
TXN00000296,CUST00218,CARD000218,MERC00087,2026-06-04 10:11:09,89608.0,CLP,1,approved,purchase,high,pharmacy
TXN00000307,CUST00435,CARD000445,MERC00044,2026-04-24 13:58:22,15069.0,CLP,1,approved,purchase,high,services
TXN00000323,CUST00239,CARD000239,MERC00136,2026-04-08 15:35:45,517395.0,CLP,1,approved,purchase,low,services
TXN00000368,CUST00064,CARD000068,MERC00176,2026-03-21 18:10:06,175254.0,CLP,1,approved,purchase,medium,marketplace
TXN00000409,CUST00278,CARD000278,MERC00042,2026-04-11 10:06:13,21663.0,CLP,3,approved,purchase,low,pharmacy
TXN00000432,CUST00197,CARD000197,MERC00153,2026-04-14 16:18:37,10600.0,CLP,1,approved,purchase,medium,fashion
TXN00000514,CUST00086,CARD000092,MERC00180,2026-06-08 08:56:39,163351.0,CLP,1,approved,purchase,low,education
TXN00000529,CUST00481,CARD000493,MERC00073,2026-04-27 09:01:45,43792.0,CLP,1,approved,purchase,high,marketplace
TXN00000542,CUST00260,CARD000260,MERC00129,2026-06-13 18:40:56,10223.0,CLP,12,approved,purchase,high,travel
TXN00000559,CUST00090,CARD000095,MERC00084,2026-03-18 17:43:40,8258.0,CLP,12,approved,purchase,low,marketplace
TXN00000593,CUST00005,CARD000005,MERC00019,2026-04-23 14:30:42,110570.0,CLP,1,approved,purchase,medium,home
TXN00000605,CUST00322,CARD000328,MERC00004,2026-05-24 12:25:20,838864.0,CLP,3,approved,purchase,low,food_delivery
TXN00000690,CUST00031,CARD000030,MERC00142,2026-05-12 15:14:17,64591.0,CLP,3,approved,purchase,unclassified,services
TXN00000696,CUST00187,CARD000188,MERC00059,2026-03-23 18:54:03,233903.0,CLP,6,approved,purchase,low,home
TXN00000700,CUST00140,CARD000142,MERC00082,2026-05-08 23:13:48,25277.0,CLP,1,approved,purchase,unclassified,fashion
TXN00000769,CUST00385,CARD000397,MERC00017,2026-05-17 22:37:34,25735.0,CLP,1,approved,purchase,low,marketplace
TXN00000771,CUST00224,CARD000224,MERC00094,2026-03-28 19:49:32,119321.0,CLP,1,approved,purchase,medium,fashion
TXN00000883,CUST00344,CARD000352,MERC00165,2026-04-09 20:53:40,286614.0,CLP,3,approved,purchase,medium,services
TXN00000888,CUST00389,CARD000401,MERC00127,2026-05-30 14:23:41,136956.0,CLP,1,approved,purchase,medium,travel
TXN00000912,CUST00153,CARD000155,MERC00029,2026-03-31 18:18:37,124846.0,CLP,1,approved,purchase,medium,travel
TXN00000940,CUST00137,CARD000138,MERC00181,2026-06-11 11:42:41,541250.0,CLP,12,approved,purchase,medium,supermarket
TXN00000975,CUST00219,CARD000219,MERC00035,2026-04-20 18:21:01,441189.0,CLP,1,approved,purchase,unclassified,home
TXN00000991,CUST00179,CARD000179,MERC00122,2026-06-05 09:57:13,334591.0,CLP,1,approved,purchase,low,marketplace
TXN00001010,CUST00216,CARD000215,MERC00063,2026-03-23 14:35:37,53131.0,CLP,1,approved,purchase,high,services
TXN00001034,CUST00458,CARD000467,MERC00156,2026-04-29 18:02:45,108757.0,CLP,1,approved,purchase,medium,pharmacy
TXN00001051,CUST00191,CARD000192,MERC00136,2026-03-24 21:15:59,123897.0,CLP,1,approved,purchase,unclassified,services
TXN00001058,CUST00160,CARD000162,MERC00179,2026-05-05 17:39:36,22241.0,CLP,1,approved,purchase,low,pharmacy
TXN00001069,CUST00346,CARD000354,MERC00065,2026-05-13 22:29:54,233428.0,CLP,1,approved,purchase,low,pharmacy
TXN00001072,CUST00238,CARD000238,MERC00038,2026-05-22 19:23:22,12274.0,CLP,2,approved,purchase,low,supermarket
TXN00001138,CUST00161,CARD000163,MERC00044,2026-05-05 20:43:43,64500.0,CLP,3,approved,purchase,medium,services
TXN00001150,CUST00208,CARD000208,MERC00122,2026-04-22 11:21:57,151225.0,CLP,1,approved,purchase,unclassified,marketplace
TXN00001174,CUST00237,CARD000237,MERC00063,2026-05-09 08:53:50,362114.0,CLP,2,approved,purchase,medium,services
TXN00001179,CUST00488,CARD000502,MERC00026,2026-03-21 14:02:17,25508.0,CLP,1,approved,purchase,low,health
TXN00001187,CUST00428,CARD000436,MERC00109,2026-05-07 17:22:27,251699.0,CLP,1,approved,purchase,medium,home
TXN00001188,CUST00030,CARD000029,MERC00129,2026-04-28 09:58:40,23416.0,CLP,12,approved,purchase,low,travel
TXN00001205,CUST00228,CARD000230,MERC00002,2026-06-09 20:05:01,13973.0,CLP,2,approved,purchase,medium,services
TXN00001221,CUST00414,CARD000424,MERC00074,2026-05-08 17:05:51,43650.0,CLP,2,approved,purchase,low,electronics
TXN00001275,CUST00220,CARD000220,MERC00114,2026-05-30 23:38:38,521820.0,CLP,3,approved,purchase,medium,pharmacy
TXN00001345,CUST00166,CARD000169,MERC00157,2026-04-26 12:46:59,97628.0,CLP,6,approved,purchase,medium,education
TXN00001360,CUST00438,CARD000449,MERC00048,2026-05-15 23:09:33,132026.0,CLP,6,approved,purchase,low,education
TXN00001376,CUST00385,CARD000397,MERC00156,2026-05-11 21:42:39,73437.0,CLP,1,approved,purchase,low,pharmacy
TXN00001377,CUST00222,CARD000222,MERC00095,2026-05-13 08:57:21,107546.0,CLP,1,approved,purchase,unclassified,services
TXN00001382,CUST00467,CARD000478,MERC00052,2026-04-10 08:32:46,676589.0,CLP,1,approved,purchase,low,marketplace
TXN00001415,CUST00189,CARD000190,MERC00002,2026-04-19 10:05:38,551376.0,CLP,1,approved,purchase,low,services
TXN00001604,CUST00455,CARD000464,MERC00073,2026-04-03 19:07:44,68672.0,CLP,1,approved,purchase,medium,marketplace
TXN00001645,CUST00495,CARD000511,MERC00108,2026-05-01 18:30:52,475568.0,CLP,1,approved,purchase,low,services
TXN00001656,CUST00174,CARD000176,MERC00099,2026-06-05 19:45:45,724349.0,CLP,3,approved,purchase,low,pharmacy
TXN00001717,CUST00143,CARD000145,MERC00072,2026-05-23 19:17:47,115289.0,CLP,1,approved,purchase,medium,education
TXN00001719,CUST00212,CARD000212,MERC00026,2026-04-21 08:38:26,398281.0,CLP,3,approved,purchase,low,health
TXN00001761,CUST00392,CARD000405,MERC00071,2026-06-02 18:20:13,463256.0,CLP,1,approved,purchase,medium,home
TXN00001783,CUST00275,CARD000274,MERC00149,2026-04-08 13:05:52,641861.0,CLP,6,approved,purchase,medium,marketplace
TXN00001838,CUST00184,CARD000185,MERC00056,2026-06-15 15:38:13,10369.0,CLP,1,approved,purchase,medium,home
TXN00001855,CUST00144,CARD000146,MERC00115,2026-04-24 18:42:30,6651.0,CLP,3,approved,purchase,low,marketplace
TXN00001860,CUST00316,CARD000320,MERC00120,2026-04-20 18:31:13,47054.0,CLP,3,approved,purchase,high,marketplace
TXN00001931,CUST00446,CARD000455,MERC00131,2026-03-21 15:40:08,353075.0,CLP,6,approved,purchase,medium,food_delivery
